Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
Jaxon Smith-Njigba,SEA,2023,72,198,4.48,20,D.K. Metcalf,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,25,WR,17,17,141,90,1048,11.6,6,47,54,7.4,5.3,61.6,2,0,0
Quentin Johnston,LAC,2023,76,215,4.49,21,Mike Williams,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,28,WR,13,13,93,63,895,14.2,4,39,55,9.6,4.8,68.8,0,0,0
Zay Flowers,BAL,2023,70,172,4.42,22,Mark Andrews,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAL,27,TE,15,15,113,73,847,11.6,5,48,36,7.5,4.9,56.5,1,0,0
Jordan Addison,MIN,2023,72,175,4.49,23,Justin Jefferson,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,23,WR,17,17,184,128,1809,14.1,8,80,64,9.8,7.5,106.4,0,0,0
Jonathan Mingo,CAR,2023,74,225,4.46,39,DJ Chark,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,26,WR,11,10,52,30,502,16.7,3,24,51,9.7,2.7,45.6,0,0,0
Jayden Reed,GB,2023,72,190,4.45,50,Christian Watson,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNB,23,WR,14,11,66,41,611,14.9,7,28,63,9.3,2.9,43.6,0,0,0
Rashee Rice,KC,2023,74,203,4.51,55,Travis Kelce,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KAN,33,TE,17,17,152,110,1338,12.2,12,78,52,8.8,6.5,78.7,1,0,0
Marvin Mims,DEN,2023,71,182,4.38,63,Jerry Jeudy,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,23,WR,15,14,100,67,972,14.5,6,41,67,9.7,4.5,64.8,0,0,0
Nathaniel Dell,HOU,2023,70,165,4.49,69,Nico Collins,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,23,WR,10,7,66,37,481,13,2,21,58,7.3,3.7,48.1,0,0,0
Jalin Hyatt,NYG,2023,72,185,4.4,73,Darren Waller,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LVR,30,TE,9,6,43,28,388,13.9,3,18,34,9,3.1,43.1,0,0,0
Cedric Tillman,CLE,2023,75,215,4.55,74,Amari Cooper,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,28,WR,17,17,132,78,1160,14.9,9,61,55,8.8,4.6,68.2,0,0,0
Josh Downs,IND,2023,70,175,4.48,80,Michael Pittman Jr.,2022,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,25,WR,16,16,141,99,925,9.3,4,51,28,6.6,6.2,57.8,2,0,0
